gpu torch available:  True
Epi 213    | COLL_WALL   | steps 84   | total 52k   |  9.3s | MA100   8%
Epi 214    | COLL_WALL   | steps 166  | total 52k   | 17.8s | MA100   8%
Epi 215    | COLL_WALL   | steps 88   | total 53k   |  9.8s | MA100   8%
Epi 216    | COLL_WALL   | steps 83   | total 53k   |  8.9s | MA100   8%
Epi 217    | TIMEOUT     | steps 195  | total 53k   | 21.1s | MA100   7%
Epi 218    | COLL_WALL   | steps 86   | total 53k   |  9.0s | MA100   7%
Epi 219    | SUCCESS     | steps 44   | total 53k   |  5.0s | MA100   8%
Epi 220    | SUCCESS     | steps 168  | total 53k   | 18.1s | MA100   9%
Epi 221    | COLL_WALL   | steps 73   | total 53k   |  8.3s | MA100   9%
Epi 222    | COLL_WALL   | steps 239  | total 53k   | 25.8s | MA100   9%
Epi 223    | COLL_WALL   | steps 30   | total 53k   |  3.3s | MA100   9%
Epi 224    | SUCCESS     | steps 62   | total 54k   |  6.4s | MA100  10%
Epi 225    | TIMEOUT     | steps 149  | total 54k   | 16.7s | MA100  10%
Epi 226    | COLL_WALL   | steps 62   | total 54k   |  6.2s | MA100  10%
Epi 227    | COLL_WALL   | steps 89   | total 54k   |  9.9s | MA100  10%
Epi 228    | COLL_WALL   | steps 111  | total 54k   | 11.8s | MA100  10%
Epi 229    | COLL_WALL   | steps 108  | total 54k   | 12.4s | MA100  10%
Epi 230    | SUCCESS     | steps 36   | total 54k   |  4.1s | MA100  11%
Epi 231    | TIMEOUT     | steps 154  | total 54k   | 17.0s | MA100  11%
Epi 232    | SUCCESS     | steps 34   | total 54k   |  3.9s | MA100  12%
Epi 233    | COLL_WALL   | steps 32   | total 54k   |  3.6s | MA100  12%
Epi 234    | COLL_WALL   | steps 156  | total 54k   | 16.6s | MA100  12%
Epi 235    | TIMEOUT     | steps 155  | total 55k   | 16.5s | MA100  12%
Epi 236    | COLL_WALL   | steps 78   | total 55k   |  8.6s | MA100  12%
Epi 237    | TIMEOUT     | steps 261  | total 55k   | 28.1s | MA100  12%
Epi 238    | SUCCESS     | steps 155  | total 55k   | 15.9s | MA100  13%
Epi 239    | COLL_WALL   | steps 31   | total 55k   |  3.6s | MA100  13%
Epi 240    | COLL_WALL   | steps 41   | total 55k   |  4.6s | MA100  13%
Epi 241    | COLL_WALL   | steps 106  | total 55k   | 10.6s | MA100  13%
Epi 242    | COLL_WALL   | steps 89   | total 55k   |  9.4s | MA100  13%
Epi 243    | COLL_WALL   | steps 33   | total 55k   |  3.5s | MA100  13%
Epi 244    | TIMEOUT     | steps 144  | total 56k   | 15.2s | MA100  13%
Epi 245    | SUCCESS     | steps 127  | total 56k   | 13.2s | MA100  14%
Epi 246    | COLL_WALL   | steps 57   | total 56k   |  6.2s | MA100  14%
Epi 247    | TIMEOUT     | steps 163  | total 56k   | 17.3s | MA100  14%
Epi 248    | TIMEOUT     | steps 153  | total 56k   | 16.8s | MA100  14%
Epi 249    | COLL_WALL   | steps 32   | total 56k   |  3.2s | MA100  14%
Epi 250    | COLL_WALL   | steps 39   | total 56k   |  4.3s | MA100  14%
Epi 251    | COLL_WALL   | steps 83   | total 56k   |  9.0s | MA100  14%
Epi 252    | COLL_WALL   | steps 118  | total 56k   | 12.0s | MA100  14%
Epi 253    | TIMEOUT     | steps 121  | total 56k   | 13.1s | MA100  14%
Epi 254    | COLL_WALL   | steps 80   | total 57k   |  8.1s | MA100  14%
Epi 255    | TIMEOUT     | steps 167  | total 57k   | 18.0s | MA100  14%
Epi 256    | TIMEOUT     | steps 154  | total 57k   | 16.1s | MA100  13%
