episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
181	48045	2	0.229	6.00	0.44123	-28.55044	0.000	1.229	0.000	0.000	0.000	0.000	-1.000
182	48208	4	-0.093	6.00	0.43884	-28.29178	0.000	-0.093	0.000	0.000	0.000	0.000	0.000
183	48378	4	2.970	6.00	0.38724	-28.05125	0.000	2.970	0.000	0.000	0.000	0.000	0.000
184	48426	2	-0.612	6.00	0.41019	-27.85083	0.000	0.388	0.000	0.000	0.000	0.000	-1.000
185	48511	2	0.131	6.00	0.39828	-27.75951	0.000	1.131	0.000	0.000	0.000	0.000	-1.000
186	48679	4	1.075	6.00	0.40053	-27.57572	0.000	1.075	0.000	0.000	0.000	0.000	0.000
187	48867	4	1.448	6.00	0.38002	-27.29788	0.000	1.448	0.000	0.000	0.000	0.000	0.000
188	48979	2	-0.279	6.00	0.39354	-27.07175	0.000	0.721	0.000	0.000	0.000	0.000	-1.000
189	49015	2	-1.355	6.00	0.42972	-26.94676	0.000	-0.355	0.000	0.000	0.000	0.000	-1.000
190	49212	4	1.729	6.00	0.38910	-26.77527	0.000	1.729	0.000	0.000	0.000	0.000	0.000
191	49408	4	-0.841	6.00	0.37291	-26.49183	0.000	-0.841	0.000	0.000	0.000	0.000	0.000
192	49648	4	0.171	6.00	0.41184	-26.16396	0.000	0.171	0.000	0.000	0.000	0.000	0.000
193	49841	4	0.580	6.00	0.37247	-25.84730	0.000	0.580	0.000	0.000	0.000	0.000	0.000
194	49902	1	2.792	7.00	0.37592	-25.67032	0.000	1.792	0.000	0.000	0.000	0.000	1.000
195	50062	4	1.351	7.00	0.35417	-25.50995	0.000	1.351	0.000	0.000	0.000	0.000	0.000
196	50263	4	2.264	7.00	0.36008	-25.25587	0.000	2.264	0.000	0.000	0.000	0.000	0.000
197	50478	4	1.212	7.00	0.33101	-24.96988	0.000	1.212	0.000	0.000	0.000	0.000	0.000
198	50552	2	-1.237	7.00	0.38672	-24.76541	0.000	-0.237	0.000	0.000	0.000	0.000	-1.000
199	50751	4	1.194	7.00	0.36158	-24.57147	0.000	1.194	0.000	0.000	0.000	0.000	0.000
200	50950	4	1.148	7.00	0.34733	-24.29217	0.000	1.148	0.000	0.000	0.000	0.000	0.000
201	51076	2	1.249	7.00	0.30840	-24.06981	0.000	2.249	0.000	0.000	0.000	0.000	-1.000
202	51155	1	2.617	8.00	0.32065	-23.93514	0.000	1.617	0.000	0.000	0.000	0.000	1.000
203	51314	4	1.838	8.00	0.34049	-23.77947	0.000	1.838	0.000	0.000	0.000	0.000	0.000
204	51515	4	-0.408	8.00	0.33389	-23.53784	0.000	-0.408	0.000	0.000	0.000	0.000	0.000
205	51592	2	1.300	8.00	0.31693	-23.35546	0.000	2.300	0.000	0.000	0.000	0.000	-1.000
206	51656	2	-0.982	8.00	0.35817	-23.25066	0.000	0.018	0.000	0.000	0.000	0.000	-1.000
207	51809	4	0.031	8.00	0.34308	-23.11733	0.000	0.031	0.000	0.000	0.000	0.000	0.000
